/Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/venv/bin/python /Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/check_if_free.py
['skavt.se', 'free']
['skevt.se', 'free']
['skilj.se', 'free']
['skilt.se', 'free']
['skipa.se', 'free']
['skred.se', 'free']
['skrev.se', 'free']
['skria.se', 'free']
['skrin.se', 'free']
['skrov.se', 'free']
['skyig.se', 'free']
['skymt.se', 'free']
['slake.se', 'free']
['slemt.se', 'free']
['sleva.se', 'free']
['slika.se', 'free']
['slikt.se', 'free']
['sloka.se', 'free']
['sluga.se', 'free']
['sluge.se', 'free']
['slyet.se', 'free']
['smekt.se', 'free']
['smeta.se', 'free']
['smord.se', 'free']
['sneda.se', 'free']
['snora.se', 'free']
['sobre.se', 'free']
['sojan.se', 'free']
['solat.se', 'free']
['solka.se', 'free']
['solur.se', 'free']
['sonad.se', 'free']
['sopad.se', 'free']
['sopar.se', 'free']
['sotad.se', 'free']
['spord.se', 'free']
['spyan.se', 'free']
['spyor.se', 'free']
['stega.se', 'free']
['stior.se', 'free']
['stona.se', 'free']
['stred.se', 'free']
['strof.se', 'free']
['stryp.se', 'free']
['stuka.se', 'free']
['styva.se', 'free']
['sugit.se', 'free']
['sugne.se', 'free']
['sulad.se', 'free']
['sular.se', 'free']
['sulat.se', 'free']
['sumna.se', 'free']
['sumpa.se', 'free']
['supen.se', 'free']
['supig.se', 'free']
['surat.se', 'free']
['surna.se', 'free']
['svage.se', 'free']
['svalg.se', 'free']
['svank.se', 'free']
['svept.se', 'free']
['svika.se', 'free']
['svina.se', 'free']
['sylar.se', 'free']
['synad.se', 'free']
['synod.se', 'free']
['syrad.se', 'free']
['syret.se', 'free']
['tabun.se', 'free']
['tabus.se', 'free']
['tacks.se', 'free']
['tadel.se', 'free']
['tager.se', 'free']
['talgs.se', 'free']
['tands.se', 'free']
['tanig.se', 'free']
['tapen.se', 'free']
['taper.se', 'free']
['tarms.se', 'free']
['taxor.se', 'free']
['teism.se', 'free']
['tejps.se', 'free']
['temas.se', 'free']
['tenar.se', 'free']
['tepig.se', 'free']
['tesil.se', 'free']
['tevar.se', 'free']
['tigas.se', 'free']
['tikar.se', 'free']
['tiken.se', 'free']
['tinad.se', 'free']
['tinar.se', 'free']
['tiols.se', 'free']
['tiors.se', 'free']
['tirad.se', 'free']
['tjalk.se', 'free']
['tjoar.se', 'free']
['tjoas.se', 'free']
['tjogs.se', 'free']
['tjura.se', 'free']
['tjurs.se', 'free']
['tjuva.se', 'free']
['tjuvs.se', 'free']
['tjyvs.se', 'free']
['toans.se', 'free']
['tofun.se', 'free']
['tofus.se', 'free']
['togan.se', 'free']
['togas.se', 'free']
['tokan.se', 'free']
['tokas.se', 'free']
['toker.se', 'free']
['tonar.se', 'free']
['tonas.se', 'free']
['torde.se', 'free']
['torgs.se', 'free']
['torks.se', 'free']
['torns.se', 'free']
['torps.se', 'free']
['torva.se', 'free']
['torvs.se', 'free']
['tosig.se', 'free']
['tovad.se', 'free']
['tovas.se', 'free']
['tovig.se', 'free']
['travs.se', 'free']
['treas.se', 'free']
['trims.se', 'free']
['trios.se', 'free']
['trops.se', 'free']
['tubas.se', 'free']
['tubor.se', 'free']
['tujan.se', 'free']
['tujas.se', 'free']
['tumla.se', 'free']
['turig.se', 'free']
['turks.se', 'free']
['tusan.se', 'free']
['tuvad.se', 'free']
['tuvar.se', 'free']
['tuvig.se', 'free']
['tvang.se', 'free']
['tvina.se', 'free']
['tving.se', 'free']
['tycks.se', 'free']
['tydas.se', 'free']
['tyder.se', 'free']
['tydes.se', 'free']
['tyfus.se', 'free']
['tygel.se', 'free']
['tygen.se', 'free']
['tygla.se', 'free']
['tynar.se', 'free']
['tynga.se', 'free']
['tyngs.se', 'free']
['tyske.se', 'free']
['ufona.se', 'free']
['ufons.se', 'free']
['ufots.se', 'free']
['ulvar.se', 'free']
['umbar.se', 'free']
['undre.se', 'free']
['unges.se', 'free']
['urans.se', 'free']
['uremi.se', 'free']
['urens.se', 'free']
['urets.se', 'free']
['urhem.se', 'free']
['urins.se', 'free']
['urmyt.se', 'free']
['urnas.se', 'free']
['uroxe.se', 'free']
['urtyp.se', 'free']
['uselt.se', 'free']
['uslig.se', 'free']
['utbad.se', 'free']
['utber.se', 'free']
['utbon.se', 'free']
['utbor.se', 'free']
['utbos.se', 'free']
['utgav.se', 'free']
['utger.se', 'free']
['utges.se', 'free']
['uthyr.se', 'free']
['utled.se', 'free']
['utlys.se', 'free']
['utmed.se', 'free']
['utrym.se', 'free']
['utser.se', 'free']
['utspy.se', 'free']
['uvars.se', 'free']
['uvbon.se', 'free']
['uvbos.se', 'free']
['uvens.se', 'free']
['uzbek.se', 'free']
['vagns.se', 'free']
['vakor.se', 'free']
['vakts.se', 'free']
['valks.se', 'free']
['valps.se', 'free']
['valts.se', 'free']
['vamps.se', 'free']
['vande.se', 'free']
['varet.se', 'free']
['vargs.se', 'free']
['varit.se', 'free']
['varom.se', 'free']
['varps.se', 'free']
['vdars.se', 'free']
['vdens.se', 'free']
['vecks.se', 'free']
['vekar.se', 'free']
['vekna.se', 'free']
['velat.se', 'free']
['vepas.se', 'free']
['verbs.se', 'free']
['verop.se', 'free']
['verts.se', 'free']
['vetos.se', 'free']
['vides.se', 'free']
['vifts.se', 'free']
['vigde.se', 'free']
['viger.se', 'free']
['vigts.se', 'free']
['vikes.se', 'free']
['viket.se', 'free']
['vikna.se', 'free']
['vikts.se', 'free']
['vilat.se', 'free']
['vilts.se', 'free']
['vinds.se', 'free']
['vinks.se', 'free']
['viols.se', 'free']
['vipas.se', 'free']
['vipor.se', 'free']
['virat.se', 'free']
['visen.se', 'free']
['viset.se', 'free']
['viten.se', 'free']
['voile.se', 'free']
['vraks.se', 'free']
['vreda.se', 'free']
['vreds.se', 'free']
['vrids.se', 'free']
['vrist.se', 'free']
['vurms.se', 'free']
['vuxne.se', 'free']
['vyers.se', 'free']
['wokad.se', 'free']
['wokar.se', 'free']
['wokas.se', 'free']
['yawls.se', 'free']
['ylade.se', 'free']
['ylats.se', 'free']
['ylens.se', 'free']
['ylets.se', 'free']
['ymnig.se', 'free']
['ympad.se', 'free']
['ympar.se', 'free']
['ympas.se', 'free']
['ympat.se', 'free']
['ympen.se', 'free']
['yngla.se', 'free']
['yngre.se', 'free']
['yrade.se', 'free']
['yrans.se', 'free']
['yrkad.se', 'free']
['yrkas.se', 'free']
['yrkat.se', 'free']
['ystra.se', 'free']
['ystre.se', 'free']
['ytans.se', 'free']
['ytors.se', 'free']
['yvdes.se', 'free']
['yviga.se', 'free']
['yvigt.se', 'free']
['yxade.se', 'free']
['yxans.se', 'free']
['yxnes.se', 'free']
['yxnet.se', 'free']
['yxors.se', 'free']
['zelot.se', 'free']
['zinks.se', 'free']
['zonal.se', 'free']

Process finished with exit code 0
