/Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/venv/bin/python /Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/check_if_free.py
['ekots.se', 'free']
['ekrad.se', 'free']
['ekras.se', 'free']
['ekrat.se', 'free']
['eldat.se', 'free']
['elugn.se', 'free']
['emirs.se', 'free']
['emuns.se', 'free']
['enats.se', 'free']
['enkom.se', 'free']
['enris.se', 'free']
['ensak.se', 'free']
['envar.se', 'free']
['epiks.se', 'free']
['epoks.se', 'free']
['erans.se', 'free']
['etans.se', 'free']
['etiks.se', 'free']
['etsad.se', 'free']
['etsar.se', 'free']
['etuin.se', 'free']
['etuis.se', 'free']
['etyds.se', 'free']
['exils.se', 'free']
['facks.se', 'free']
['fajts.se', 'free']
['famns.se', 'free']
['faret.se', 'free']
['farts.se', 'free']
['faten.se', 'free']
['fauns.se', 'free']
['fegar.se', 'free']
['fegas.se', 'free']
['fegat.se', 'free']
['fejad.se', 'free']
['fejar.se', 'free']
['fejas.se', 'free']
['fejds.se', 'free']
['fejks.se', 'free']
['fekal.se', 'free']
['felar.se', 'free']
['felas.se', 'free']
['felat.se', 'free']
['felor.se', 'free']
['fetal.se', 'free']
['fetna.se', 'free']
['ficks.se', 'free']
['fikar.se', 'free']
['filad.se', 'free']
['filar.se', 'free']
['filas.se', 'free']
['filat.se', 'free']
['filea.se', 'free']
['filta.se', 'free']
['filts.se', 'free']
['fimps.se', 'free']
['finka.se', 'free']
['fints.se', 'free']
['fiols.se', 'free']
['firad.se', 'free']
['fiser.se', 'free']
['fista.se', 'free']
['fjuns.se', 'free']
['flads.se', 'free']
['flaks.se', 'free']
['flams.se', 'free']
['flate.se', 'free']
['fliks.se', 'free']
['flins.se', 'free']
['flits.se', 'free']
['floar.se', 'free']
['flons.se', 'free']
['flums.se', 'free']
['flyet.se', 'free']
['flygs.se', 'free']
['flyna.se', 'free']
['flyns.se', 'free']
['flyts.se', 'free']
['fnysa.se', 'free']
['fnyst.se', 'free']
['fobin.se', 'free']
['fobis.se', 'free']
['focka.se', 'free']
['focks.se', 'free']
['fogad.se', 'free']
['fonds.se', 'free']
['foras.se', 'free']
['fornt.se', 'free']
['fotad.se', 'free']
['fotas.se', 'free']
['fouls.se', 'free']
['friad.se', 'free']
['frias.se', 'free']
['friat.se', 'free']
['frids.se', 'free']
['frige.se', 'free']
['frita.se', 'free']
['fromt.se', 'free']
['frond.se', 'free']
['fruga.se', 'free']
['fruns.se', 'free']
['frusa.se', 'free']
['fryna.se', 'free']
['frynt.se', 'free']
['fugan.se', 'free']
['fugas.se', 'free']
['fugor.se', 'free']
['fukts.se', 'free']
['futil.se', 'free']
['fuxar.se', 'free']
['fuxen.se', 'free']
['fylka.se', 'free']
['fyrat.se', 'free']
['fyrop.se', 'free']
['gajen.se', 'free']
['galit.se', 'free']
['galor.se', 'free']
['galts.se', 'free']
['garns.se', 'free']
['garvs.se', 'free']
['gaten.se', 'free']
['gejds.se', 'free']
['gemak.se', 'free']
['genat.se', 'free']
['gicks.se', 'free']
['gikts.se', 'free']
['gipsa.se', 'free']
['gipyr.se', 'free']
['girat.se', 'free']
['giren.se', 'free']
['givar.se', 'free']
['givas.se', 'free']
['gives.se', 'free']
['gjuts.se', 'free']
['glest.se', 'free']
['gliom.se', 'free']
['glipa.se', 'free']
['globs.se', 'free']
['glupa.se', 'free']
['gnats.se', 'free']
['gneds.se', 'free']
['gnets.se', 'free']
['gnida.se', 'free']
['gnids.se', 'free']
['gnola.se', 'free']
['gnoms.se', 'free']
['gnuer.se', 'free']
['gnyet.se', 'free']
['gojas.se', 'free']
['golvs.se', 'free']
['gosar.se', 'free']
['gosat.se', 'free']
['goter.se', 'free']
['grads.se', 'free']
['grafs.se', 'free']
['grams.se', 'free']
['gravs.se', 'free']
['greks.se', 'free']
['grena.se', 'free']
['greps.se', 'free']
['grift.se', 'free']
['grina.se', 'free']
['grisa.se', 'free']
['grops.se', 'free']
['gryna.se', 'free']
['gryns.se', 'free']
['gudom.se', 'free']
['gulas.se', 'free']
['gulfs.se', 'free']
['gulna.se', 'free']
['gulor.se', 'free']
['gumps.se', 'free']
['gunst.se', 'free']
['gylfs.se', 'free']
['hafts.se', 'free']
['hakes.se', 'free']
['hakig.se', 'free']
['hakor.se', 'free']
['halms.se', 'free']
['halte.se', 'free']
['halts.se', 'free']
['hamns.se', 'free']
['hangs.se', 'free']
['hares.se', 'free']
['harvs.se', 'free']
['hasen.se', 'free']
['hasor.se', 'free']
['haver.se', 'free']
['haves.se', 'free']
['hedna.se', 'free']
['hejas.se', 'free']
['hejig.se', 'free']
['helat.se', 'free']
['helgd.se', 'free']
['helgs.se', 'free']
['helor.se', 'free']
